"TFR","PopDen","EducUni","EducJR","HigherEduc","MR","GDP","UrbanPop1Million","UrbanPop","UrbanPopGrowth","Year"
"2.05","256.4903",3,3.5,6.4,9.4,6952.10959724671,"41.715654","64.213000"," 2.372312",1961
"2.01","258.8846",3.3,4,7.4,9.8,7501.44544383451,"43.227957","65.144000"," 2.368619",1962
"2.02","261.5217",3.9,5.1,8.9,9.7,8055.04139523596,"44.761923","66.064000"," 2.415836",1963
"2.05","264.2569",5.1,6.4,11.5,9.9,8902.49555330628,"46.345503","66.972000"," 2.405515",1964
"2.139","267.1175",4.6,6.6,11.3,9.7,9319.7065576326,"47.966787","67.866000"," 2.402763",1965
"1.58","269.5691",4.5,7.2,11.7,9.5,10217.4142097791,"49.063646","68.704000"," 2.140836",1966
"2.02","272.3725",4.9,8.4,13.3,9.6,11232.9060981793,"49.898612","69.516000"," 2.209531",1967
"2.13","275.4595",5.2,9.2,14.4,9.5,12537.8808936569,"50.704921","70.316000"," 2.271239",1968
"2.13","278.7537",5.8,10.2,16,9.6,13935.6862699391,"51.490703","71.102000"," 2.300424",1969
"2.135","281.9825",6.5,11.2,17.7,10,14122.3052667911,"52.312265","71.877000"," 2.235726",1970
"2.16","288.2383",7.9,12.8,20.7,10.5,14465.0045203968,"52.417732","72.666000"," 3.285981",1971
"2.14","292.3841",9.3,14.3,23.6,10.4,15463.885367324,"52.885935","73.452000"," 2.476633",1972
"2.14","296.5276",10.6,16.4,27,9.9,16472.5982587411,"53.35541","74.22000"," 2.44734",1973
"2.05","300.4965",11.6,18.1,29.7,9.1,16055.8680107699,"53.876490","74.975000"," 2.341689",1974
"1.909","304.4284",12.7,20.1,32.8,8.5,16342.9205416933,"54.437619","75.716000"," 2.256186",1975
"1.85","307.708",13.2,20.9,39.4,7.8,16811.435808359,"54.640215","75.944000"," 1.372232",1976
"1.8","310.786",12.6,20.7,46.5,7.2,17380.4492339892,"54.738443","76.002000"," 1.044375",1977
"1.79","313.6272",12.4,21,48.3,6.9,18130.9857171435,"54.8705621","76.0600000"," 0.9863164",1978
"1.77","316.2937",12.2,20.9,48.5,6.8,18964.0625026394,"55.0389274","76.1180000"," 0.9228406",1979
"1.75","318.8834",12.3,21,48.9,6.7,19345.3190223844,"55.2420206","76.1750000"," 0.8630091",1980
"1.74","321.1272",12.2,20.7,48.6,6.6,20013.3071854377,"55.3968197","76.2730000"," 0.8570301",1981
"1.77","323.539",12.2,20.5,47.9,6.6,20533.3136017285,"55.5451941","76.3830000"," 0.8377701",1982
"1.8","325.7974",12.2,19.9,47.4,6.4,21109.3663890516,"55.6933457","76.4930000"," 0.8394918",1983
"1.81","329.2651",12.6,20.1,48.5,6.2,21917.1547848902,"55.8694828","76.6030000"," 0.7920164",1984
"1.76","331.4235",13.7,20.8,50.2,6.1,22920.2469775594,"56.057690","76.712000"," 0.768127",1985
"1.72","333.1012",12.5,21,48.8,5.9,23556.9532881665,"56.4039652","76.8350000"," 0.6925697",1986
"1.69","334.8025",13.6,21.5,51.1,5.7,24552.7155206582,"56.8165292","76.9620000"," 0.6471882",1987
"1.66","336.1986",14.4,21.9,52.8,5.8,26109.7504779261,"57.2712134","77.0880000"," 0.5796938",1988
"1.57","337.5453",14.7,22.1,53.9,5.8,27268.9431694537,"57.7374513","77.2130000"," 0.5617818",1989
"1.54","338.667",15.2,22.3,55.1,5.9,28508.3912679574,"58.2484467","77.3390000"," 0.4948344",1990
"1.53","340",16.1,23.2,57.1,6,29367.0780347898,"58.4823618","77.4730000"," 0.5659338",1991
"1.502","341.2644",17.2,23.6,59.3,6.1,29506.4022447088,"58.6475451","77.6100000"," 0.5478722",1992
"1.458","342.3725",19,24.5,62.5,6.4,29258.5819908349,"58.8399418","77.7460000"," 0.4992485",1993
"1.5","343.3297",21,25,65.5,6.3,29466.7552451756,"59.0601975","77.8810000"," 0.4526843",1994
"1.422","344.136",22.9,24.8,67.7,6.4,30171.1637924347,"59.3078663","78.0160000"," 0.4077822",1995
"1.425","345.0123",24.5,23.9,69,6.4,31046.1701544648,"59.3542658","78.1450000"," 0.3920987",1996
"1.388","345.8354",26,23.1,69.9,6.2,31276.1930771932,"59.3253481","78.2720000"," 0.4006573",1997
"1.384","346.7764",27.5,22.1,70.7,6.3,30795.0888900928,"59.2783932","78.3980000"," 0.4325773",1998
"1.342","347.4102",29.4,20.5,71.8,6.1,30636.266116943,"59.2859592","78.5230000"," 0.3419021",1999
"1.359","347.9918",31.5,17.5,72.1,6.4,31430.6311303282,"59.3044496","78.6490000"," 0.3276096",2000
"1.33","348.8313",32.6,16.1,72.1,6.4,31476.052066579,"59.500790","79.990000"," 1.931624",2001
"1.32","349.6433",33.8,14.9,73,6,31416.1241772435,"59.790412","81.647000"," 2.282872",2002
"1.29","350.3923",34.4,14.2,74.1,5.9,31830.2175849262,"60.10822","83.19600"," 2.09340",2003
"1.29","350.5103",35.2,13.8,75,5.7,32515.1158024317,"60.554966","84.640000"," 1.754432",2004
"1.26","350.5432",36.8,13.3,76.4,5.7,33098.5474664872,"61.038168","85.978000"," 1.577841",2005
"1.32","350.7654",38.5,12.7,76.5,5.8,33531.5185630775,"61.390710","87.118000"," 1.380581",2006
"1.34","351.1687",40.5,12.2,77.3,5.7,33990.0360341685,"61.677298","88.146000"," 1.288009",2007
"1.37","351.3388",42.6,11.8,78,5.8,33557.6454041531,"62.010300","89.103000"," 1.128273",2008
"1.37","351.2949",44.2,11.4,79,5.6,31651.0837739853,"62.3855428","89.9890000"," 0.9769491",2009
"1.39","351.358",45.2,11.1,81.2,5.5,32942.2020783725,"62.7480128","90.8120000"," 0.9283595",2010
"1.39","350.7078",45.8,10.7,81.5,5.2,33011.13423011,"63.0554716","91.0690000"," 0.0973766",2011
"1.41","350.1481",45.9,10.1,81.5,5.3,33518.444936892,"63.285280","91.148000","-0.073001",2012
"1.43","349.6433",45.7,9.9,80.8,5.3,34239.8862473683,"63.50608419","91.22600000","-0.05873318",2013
"1.42","349.1797",47.1,9.8,82.7,5.1,34386.905855287,"63.72078475","91.30400000","-0.04722911",2014
"1.45","348.8093",47.5,9.6,83,5.1,34960.6393843385,"63.91955074","91.38100000","-0.02182703",2015
